#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
315,Broken Tears,2022,2h 59m,,"Ifeanyi is at war with his brother Nnamdi and during this time Nnamdi lost his life. Now, his spirit will not rest until his wife finds peace in his family and gives birth to his child.",Drama,https://www.showmax.com/za/stream/movies/broken-tears/ac17d99b-07b4-339a-affd-8fd2c072bbb3
316,Brothers Apart,2023,2h 59m,,"Ikenga accepts money from his younger brother Lotanna to build a house, promising repayment. Will he fulfill his obligation?",Drama,https://www.showmax.com/za/stream/movies/brothers-apart/48347f4f-fab6-39e5-8503-d338cb60dcd6
317,"Bruce Lee, My Brother",2010,2h 4m,6.4,A biopic which pays tribute to the legendary martial arts master based on the memoirs of his younger brother Robert Lee.,Action,https://www.showmax.com/za/stream/movies/bruce-lee-my-brother/1e21bc8b-9c5c-3986-99fe-3f0ea84c2ea5
318,Brutal Truth,2024,2h 27m,,Dorathy and Monica are sisters who are entangled with always sleeping with the same man. It gets worse when Elliot gets both of them pregnant.,Drama,https://www.showmax.com/za/stream/movies/brutal-truth/6373da9a-efd7-371c-95c5-0fc183168a91
319,Buddy Games,2019,1h 32m,4.8,"Josh Duhamel directs and stars in this star-studded comedy. A group of friends reunite to engage in The Buddy Games, a competition that tests their physical and mental abilities.",Comedy,https://www.showmax.com/za/stream/movies/buddy-games/3c44e5b5-9001-39cb-94cc-a5531b3356a1
320,Buddy Games: Spring Awakening,2023,1h 31m,4.5,"Josh Duhamel stars and directs this outrageous comedy. After a friend's death, the gang steal the urn and commemorates his life at the place where the Buddy Games began.",Comedy,https://www.showmax.com/za/stream/movies/buddy-games-spring-awakening/3b7e7d64-fec7-3dd6-87a0-e43f8fc64be1
321,Bulletjie,2023,45m,,A teenager takes control of his father's life after a stroke nearly leaves him orphaned.,Drama,https://www.showmax.com/za/stream/movies/bulletjie/2b449c4a-ac59-3d3b-8945-a5c6e089c4e4
322,Bulletproof,1996,1h 20m,6.7,"Adam Sandler proves his versatility in this buddy action comedy that sees a small-time thief forced to team up with a cop that once betrayed him, played by Damon Wayans.",Action,https://www.showmax.com/za/stream/movies/bulletproof/b8e8a686-3b84-3255-a8e5-a6f74f2c4cad
323,Bully. Coward. Victim. The Story Of Roy Cohn,2019,1h 33m,6.8,"This film looks at the life of notorious attorney Roy Cohn, including his work with Senator Joseph McCarthy and his mentorship of Donald Trump. 2019",Documentary,https://www.showmax.com/za/stream/movies/bully.-coward.-victim.-the-story-of-roy-cohn/202ae74a-875e-375c-b4f9-3f9db99d6ed7
324,Bumblebee,2018,1h 49m,6.7,"The smallest hero, with the biggest heart, gets his own action-packed Transformers movie. In 1987, Bumblebee takes refuge in a small town, where he's found by a teenage girl.",Action,https://www.showmax.com/za/stream/movies/bumblebee/1d68fdbc-faa9-39a4-ad00-fa30f60a4ae5
